Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message
341.016595,1173,,,,-0.0234375,-0.0078125,-1.017578125,-0.005073143,0.025220603,22.20628357,0.221121654,1568,0,4.91029015,0.833091796,16.96624375,0.030273498,0.005136276,1.021484375,
341.03876,1173,,,,-0.09375,-0.021484375,-1.013671875,-0.006025195,0.025660984,22.20533562,0.227864578,1570,0,5.059809438,0.990324,19.57235767,0.025911706,0.005071532,1.021484375,
341.062035,1173,,,,-0.01171875,-0.01171875,-1.046875,-0.006038215,0.02578319,22.20342827,0.244838163,1570,0,5.436246595,0.992723568,18.26119457,0.025972174,0.004742829,1.0234375,
341.083465,1173,,,,-0.07421875,0.01171875,-1.03125,-0.005948188,0.025524466,22.20449829,0.22644043,1570,0,5.027996134,0.977909978,19.44929853,0.026101038,0.005076469,1.021484375,
341.105475,1173,,,,0.03125,-0.048828125,-1.041015625,-0.006097469,0.025000413,22.20628548,0.230887279,1570,0,5.127148829,1.002445241,19.55170942,0.02493943,0.004876085,1.021484375,
341.1264,1173,,,,-0.09375,0,-1.01953125,-0.005754558,0.025206291,22.20685768,0.225306913,1570,0,5.003358557,0.945916947,18.9056398,0.026647467,0.005037874,1.021484375,
341.147495,1173,,,,-0.0234375,-0.01171875,-1.01953125,-0.006152384,0.025412169,22.20733452,0.211588547,1567,0,4.698817635,1.009824102,21.49102563,0.025164946,0.005408205,1.0234375,
341.169835,1173,,,,-0.078125,-0.005859375,-1.01953125,-0.005893898,0.02545951,22.20799828,0.226004466,1564,0,5.0191068,0.965511183,19.23671324,0.026368943,0.005072518,1.0234375,
341.190515,1173,,,,-0.015625,-0.0625,-1.033203125,-0.005221149,0.0255641,22.20799828,0.221121654,1562,0,4.910669309,0.853920438,17.38908455,0.029937333,0.005205828,1.021484375,
341.21298,1173,,,,-0.046875,-0.013671875,-1.021484375,-0.005347626,0.02557511,22.20666695,0.242513016,1561,0,5.385405774,0.874161777,16.23205036,0.029256724,0.004748966,1.021484375,
341.234505,1173,,,,-0.0859375,-0.013671875,-1.03125,-0.006026292,0.02557511,22.20800018,0.21484375,1563,0,4.771250039,0.986494632,20.67581082,0.02592524,0.005360253,1.021484375,
341.255505,1173,,,,-0.015625,-0.05078125,-1,-0.005954735,0.024855087,22.20628548,0.237862721,1561,0,5.282047489,0.973272398,18.42604407,0.025537647,0.004705578,1.021484375,
341.276505,1173,,,,-0.048828125,-0.01171875,-1.02734375,-0.005919966,0.024772516,22.20599937,0.222981766,1565,0,4.951532953,0.970205635,19.59404581,0.025533263,0.005002999,1.021484375,
341.29758,1173,,,,0.01953125,-0.0625,-1.064453125,-0.006746012,0.024689944,22.20514297,0.237862721,1568,0,5.28177573,1.1075994,20.97020883,0.022291403,0.004674554,1.021484375,
341.318595,1173,,,,-0.07421875,0.021484375,-1.044921875,-0.006495615,0.024629392,22.20799828,0.242047995,1570,0,5.375401463,1.067971218,19.86774803,0.02306185,0.00458187,1.021484375,
341.340445,1173,,,,-0.046875,0.0078125,-1.025390625,-0.006745202,0.024791232,22.208004,0.229492188,1573,0,5.096563417,1.110778647,21.79465957,0.022318787,0.004864304,1.0234375,
341.3604,1173,,,,0.015625,-0.05859375,-1.02734375,-0.006948097,0.025013624,22.2033329,0.229492188,1577,0,5.095491437,1.147721772,22.52426064,0.021794153,0.004908972,1.0234375,
341.38245,1173,,,,-0.048828125,-0.02734375,-1.01171875,-0.005339941,0.025362626,22.20685768,0.222516745,1575,0,4.941397695,0.880588604,17.82063817,0.028801901,0.005132683,1.021484375,
341.404115,1173,,,,-0.046875,0.0078125,-1.0625,-0.005356262,0.025711628,22.20857239,0.221121654,1571,0,4.910796257,0.881127381,17.94265806,0.029180375,0.005235735,1.021484375,
341.426125,1173,,,,-0.0625,-0.0390625,-1.021484375,-0.005356262,0.024714165,22.20600128,0.236002609,1570,0,5.240674241,0.880752864,16.80609829,0.028060273,0.004715837,1.021484375,
341.452195,1173,,,,0,-0.033203125,-0.982421875,-0.004829987,0.024714165,22.20628548,0.219726563,1567,0,4.879310774,0.792713548,16.24642465,0.031176666,0.005065094,1.021484375,
341.472495,1173,,,,-0.0625,-0.033203125,-1.033203125,-0.005400994,0.025218401,22.20550156,0.262451172,1565,0,5.827859906,0.88494184,15.18467936,0.028497241,0.004327215,1.01953125,
341.49356,1173,,,,-0.03125,0.01171875,-1,-0.005911923,0.025241521,22.20650101,0.214233398,1571,0,4.757374178,0.972762061,20.44745746,0.025948299,0.005305767,1.021484375,
341.51393,1173,,,,0,-0.03515625,-1.0546875,-0.006562673,0.025264641,22.2053318,0.227864578,1573,0,5.059808569,1.081180124,21.36800453,0.023367652,0.004993201,1.01953125,
341.537035,1173,,,,-0.07421875,0.001953125,-1.01171875,-0.005701071,0.026019894,22.20733643,0.20914714,1571,0,4.644600909,0.937692678,20.18887513,0.027748851,0.005602181,1.01953125,
341.55855,1173,,,,0,-0.013671875,-0.984375,-0.005482134,0.026019894,22.20600128,0.213623047,1570,0,4.743713653,0.901423733,19.00249044,0.028865331,0.005485132,1.01953125,
341.5799,1173,,,,-0.0625,-0.015625,-1.052734375,-0.005453246,0.025414371,22.20571518,0.23228237,1565,0,5.157996157,0.89361731,17.3248929,0.028439882,0.004927179,1.01953125,
341.60306,1173,,,,-0.046875,-0.0078125,-1.02734375,-0.005732148,0.025919708,22.21066856,0.225423172,1566,0,5.006799362,0.939728504,18.76904657,0.027582123,0.005176902,1.01953125,
341.62606,1173,,,,-0.0625,0.02734375,-1.04296875,-0.006004818,0.026134393,22.20700073,0.225830078,1567,0,5.01500871,0.985052864,19.64209677,0.026530955,0.005211236,1.021484375,
341.64704,1173,,,,-0.01171875,-0.01171875,-1.033203125,-0.006092632,0.025612542,22.20742989,0.222516745,1567,0,4.94152502,0.999637604,20.22933405,0.025621827,0.005183125,1.01953125,
341.66787,1173,,,,-0.0234375,-0.015625,-1.072265625,-0.005737556,0.025374736,22.20628548,0.214146212,1567,0,4.755391912,0.941310796,19.79459976,0.02695681,0.005335993,1.021484375,
341.689355,1173,,,,-0.09375,-0.01171875,-1.009765625,-0.005556163,0.025136931,22.20600128,0.22054036,1562,0,4.897319508,0.908601492,18.55303682,0.027665518,0.005132794,1.021484375,
341.70974,1173,,,,-0.03125,-0.015625,-1.02734375,-0.005701217,0.024711963,22.20571518,0.235072538,1561,0,5.219953831,0.931775166,17.85025685,0.02652138,0.004734134,1.021484375,
341.732645,1173,,,,-0.015625,-0.015625,-1.048828125,-0.005926476,0.024722973,22.20628548,0.235072538,1559,0,5.220087892,0.967789975,18.53972567,0.025545804,0.004736122,1.021484375,
341.753665,1173,,,,-0.0625,0.01171875,-1.048828125,-0.006214707,0.024828664,22.20685768,0.221121654,1558,0,4.910417099,1.014229607,20.65465288,0.024480319,0.005056325,1.0234375,
341.77623,1173,,,,-0.0625,-0.03515625,-1.01953125,-0.006489623,0.02517106,22.2097168,0.221121654,1563,0,4.911049311,1.06203753,21.62547071,0.023700726,0.005125394,1.021484375,
341.79693,1173,,,,0,-0.060546875,-1.037109375,-0.0059759,0.02570282,22.20628548,0.229492188,1562,0,5.09616903,0.977267344,19.17650961,0.026300705,0.005043557,1.021484375,
341.817605,1173,,,,-0.0234375,0.001953125,-1.052734375,-0.005418367,0.024884813,22.20514297,0.243443087,1561,0,5.405688547,0.885507996,16.38103986,0.028102302,0.004603449,1.021484375,
341.838525,1173,,,,-0.0625,-0.0234375,-1.021484375,-0.006161092,0.024066806,22.20666695,0.226236984,1561,0,5.023969358,1.007217125,20.04823385,0.023894357,0.004790397,1.021484375,
341.860165,1173,,,,-0.015625,0.001953125,-1.046875,-0.006601758,0.024571042,22.20533562,0.229492188,1563,0,5.095951045,1.080704204,21.20711511,0.02273614,0.004821679,1.021484375,
341.88163,1173,,,,-0.0625,-0.02734375,-1.0078125,-0.006566855,0.024571042,22.20750046,0.228271484,1568,0,5.069339094,1.078433749,21.27365577,0.022784007,0.004846991,1.021484375,
341.903275,1173,,,,-0.015625,-0.0078125,-1.04296875,-0.006367315,0.024491773,22.20628548,0.230887279,1571,0,5.127148829,1.047785167,20.43602014,0.023374804,0.00477688,1.0234375,
341.928455,1173,,,,-0.03125,0.005859375,-1.0390625,-0.005940493,0.024426817,22.20933533,0.218098953,1572,0,4.84383279,0.97797506,20.19010776,0.024976932,0.00504287,1.021484375,
341.951985,1173,,,,-0.048828125,-0.046875,-1.015625,-0.005277261,0.024491773,22.20700073,0.231323242,1570,0,5.136995409,0.86786108,16.8943324,0.028220845,0.004767723,1.021484375,
341.97289,1173,,,,-0.0234375,-0.01953125,-1.033203125,-0.005352271,0.02446535,22.20700073,0.220947266,1570,0,4.90657609,0.879956522,17.93422758,0.027802908,0.004986237,1.021484375,
341.99382,1173,,,,-0.109375,-0.0234375,-1.017578125,-0.005560234,0.024761506,22.20799828,0.240652904,1570,0,5.344419275,0.914198635,17.10566832,0.027085477,0.004633152,1.021484375,
342.01651,1173,,,,0.029296875,-0.056640625,-1.056640625,-0.005351227,0.025057662,22.20685768,0.23228237,1570,0,5.15826154,0.879752081,17.05520501,0.028482641,0.004857773,1.021484375,
342.03879,1173,,,,-0.109375,0.01953125,-1.04296875,-0.005758217,0.025161152,22.20685768,0.21484375,1569,0,4.77100458,0.945887196,19.82574487,0.026600584,0.005273764,1.021484375,
342.05971,1173,,,,0,-0.03515625,-1.064453125,-0.005794782,0.025161152,22.2097168,0.23228237,1567,0,5.158925662,0.950984997,18.43377981,0.02645799,0.004877208,1.0234375,
342.080805,1173,,,,-0.03125,0.01171875,-1.001953125,-0.005034644,0.025476024,22.20742798,0.226702005,1567,0,5.034468441,0.826023886,16.40737042,0.030841752,0.005060321,1.0234375,
342.10259,1173,,,,-0.03125,0,-1.0390625,-0.005070163,0.024543518,22.20514297,0.225306913,1564,0,5.002972222,0.830513116,16.60039432,0.029552234,0.004905787,1.021484375,
342.12614,1173,,,,-0.0625,-0.009765625,-1.0703125,-0.006243699,0.024346448,22.20666695,0.234375,1564,0,5.204687566,1.022450649,19.64480358,0.023811856,0.004677792,1.0234375,
342.146755,1173,,,,-0.01171875,-0.033203125,-1.01953125,-0.006868607,0.025539879,22.20550156,0.216064453,1567,0,4.79781955,1.126887739,23.48749733,0.022664085,0.005323226,1.021484375,
342.1684,1173,,,,-0.0625,-0.01171875,-1.033203125,-0.006285339,0.025756767,22.20799828,0.235072538,1569,0,5.220490524,1.032905426,19.78560101,0.024936229,0.004933783,1.0234375,
342.18869,1173,,,,0,-0.017578125,-1.046875,-0.005501566,0.026074942,22.20667076,0.213216141,1569,0,4.734820641,0.903720499,19.08668917,0.028852883,0.00550706,1.021484375,
342.209615,1173,,,,-0.0625,-0.005859375,-1.009765625,-0.005494348,0.024676733,22.20514297,0.221121654,1568,0,4.91003794,0.902357828,18.37781783,0.027346948,0.005025772,1.0234375,
342.231,1173,,,,-0.0625,0.015625,-1.00390625,-0.005614409,0.024676733,22.20685768,0.23646763,1566,0,5.251202998,0.920779231,17.53463409,0.026799837,0.004699253,1.021484375,
342.252985,1173,,,,-0.03125,-0.021484375,-1.064453125,-0.005657171,0.025381342,22.2053318,0.234375,1565,0,5.204374641,0.927016121,17.81224806,0.027379612,0.004876924,1.0234375,
342.276395,1173,,,,-0.0625,-0.015625,-1.033203125,-0.006837912,0.025212897,22.20628548,0.230887279,1566,0,5.127148829,1.121610203,21.87590493,0.022479197,0.004917528,1.0234375,
342.298035,1173,,,,-0.015625,-0.01171875,-1.009765625,-0.005940159,0.025042249,22.20628548,0.225306913,1567,0,5.003229636,0.974618805,19.47979358,0.025694404,0.005005217,1.0234375,
342.320645,1173,,,,-0.07421875,-0.013671875,-1.02734375,-0.005310615,0.02580631,22.20628548,0.218331471,1567,0,4.848330975,0.871370833,17.97259381,0.02961576,0.00532272,1.0234375,
342.341755,1173,,,,0,0.001953125,-1.0390625,-0.006654098,0.02580631,22.20700073,0.227050781,1567,0,5.042116866,1.091738029,21.65237455,0.023637822,0.00511815,1.0234375,
342.36291,1173,,,,-0.09375,-0.029296875,-1,-0.005931098,0.024562234,22.20800209,0.223795578,1567,0,4.970052661,0.973099086,19.57925101,0.025241247,0.004942047,1.0234375,
342.3838,1173,,,,-0.046875,0.01953125,-1.029296875,-0.005496889,0.024562234,22.20571327,0.21693638,1567,0,4.817227045,0.90191365,18.72267263,0.027233465,0.005098833,1.0234375,
342.407295,1173,,,,-0.0625,-0.044921875,-1.03515625,-0.005290829,0.0245226,22.20685768,0.207170755,1567,0,4.600611465,0.868023207,18.86756171,0.028251088,0.005330291,1.0234375,
342.428695,1173,,,,-0.048828125,-0.0078125,-1.01171875,-0.004918563,0.024713064,22.20950317,0.21484375,1562,0,4.771572948,0.804699675,16.86445295,0.030710916,0.005179228,1.0234375,
342.451085,1173,,,,0,-0.01171875,-1.037109375,-0.005163123,0.025169959,22.20733452,0.244954422,1561,0,5.439784794,0.843896579,15.51341846,0.029825882,0.004627014,1.0234375,
342.47226,1173,,,,-0.048828125,-0.02734375,-1.001953125,-0.005876913,0.023666059,22.20628548,0.242047995,1562,0,5.374986883,0.961004921,17.87920496,0.024626366,0.004402999,1.0234375,
342.4947,1173,,,,-0.0625,0.021484375,-1.03125,-0.006422891,0.024238554,22.20742798,0.229492188,1563,0,5.096431226,1.051480911,20.63171,0.023051825,0.004755986,1.0234375,
342.51575,1173,,,,0.015625,-0.0703125,-1.0234375,-0.005878565,0.024811049,22.20650101,0.219726563,1564,0,4.879358131,0.962558698,19.72715821,0.025776141,0.0050849,1.0234375,
342.53701,1173,,,,-0.09375,0.029296875,-0.98046875,-0.005780291,0.024879308,22.20533562,0.217285156,1564,0,4.824889819,0.946500551,19.6170397,0.026285572,0.005156451,1.0234375,
342.55773,1173,,,,-0.01171875,0,-1.0625,-0.005633207,0.024879308,22.20666695,0.232747391,1565,0,5.168543792,0.923380181,17.86538371,0.026943732,0.004813601,1.0234375,
342.578775,1173,,,,-0.078125,-0.044921875,-0.99609375,-0.005563515,0.025537677,22.20950317,0.239257813,1566,0,5.313797146,0.912633188,17.17478411,0.027982411,0.004805919,1.021484375,
342.60204,1173,,,,0.015625,-0.052734375,-1.01953125,-0.005832975,0.02503234,22.20800209,0.227864578,1567,0,5.060417033,0.957046066,18.91239515,0.026155837,0.004946695,1.021484375,
342.627105,1173,,,,-0.0859375,-0.00390625,-1.01171875,-0.00615867,0.024527004,22.2097168,0.269949764,1571,0,5.995507808,1.013425833,16.90308586,0.024202071,0.004090897,1.021484375,
342.651755,1173,,,,-0.037109375,-0.02734375,-1.0390625,-0.006922033,0.025557494,22.20600128,0.233154297,1578,0,5.177424615,1.143607672,22.08835003,0.022348131,0.004936333,1.021484375,
342.67296,1173,,,,-0.037109375,0.0078125,-1.03125,-0.009663859,0.026289627,22.20600128,0.207519531,1589,0,4.608178977,1.608348455,34.90203968,0.016345729,0.005704993,1.0234375,
342.694925,1173,,,,-0.015625,-0.04296875,-1.017578125,-0.003410049,0.026240085,22.20685768,0.233677462,1583,0,5.189242136,0.565406079,10.89573513,0.046409272,0.005056631,1.021484375,
342.71608,1173,,,,-0.0859375,0.001953125,-1.001953125,-0.003680846,0.026251094,22.20685768,0.212053567,1578,0,4.709043387,0.608099855,12.91344771,0.043169052,0.005574613,1.021484375,
342.73679,1173,,,,-0.03125,-0.0234375,-1.03515625,-0.004824673,0.025950534,22.20628548,0.237862721,1576,0,5.282047489,0.796441527,15.07827275,0.0325831,0.004912969,1.021484375,
342.75783,1173,,,,-0.03125,-0.005859375,-1.033203125,-0.004996492,0.025143537,22.20599937,0.245768234,1574,0,5.457529253,0.823593891,15.09096613,0.030529047,0.004607128,1.021484375,
342.78083,1173,,,,-0.048828125,-0.03125,-1.009765625,-0.006128759,0.025143537,22.20571518,0.225306913,1573,0,5.003101144,1.009788219,20.18324614,0.024899812,0.00502559,1.021484375,
342.803165,1173,,,,-0.03125,-0.05859375,-1.015625,-0.006550623,0.02529767,22.20800018,0.228881836,1573,0,5.083007854,1.07913763,21.23029633,0.023442487,0.004976909,1.021484375,
342.826705,1173,,,,-0.0234375,0,-1.060546875,-0.006302395,0.025605936,22.20866966,0.237630203,1574,0,5.277450688,1.038760539,19.68299848,0.024650471,0.004851952,1.021484375,
342.847795,1173,,,,-0.0625,-0.001953125,-1.0234375,-0.006085809,0.025331799,22.20849991,0.227661133,1576,0,5.056012247,1.004445284,19.86635385,0.025219691,0.005010233,1.021484375,
342.867775,1173,,,,-0.03125,-0.017578125,-1.01953125,-0.005808546,0.024751598,22.2085743,0.230189726,1574,0,5.112185626,0.957195655,18.72380475,0.025858452,0.004841686,1.021484375,
342.888715,1173,,,,-0.01171875,-0.03125,-1.013671875,-0.005505937,0.025036744,22.20666695,0.237630203,1571,0,5.276974783,0.905852089,17.16612503,0.027638888,0.004744526,1.01953125,
342.909805,1173,,,,-0.078125,-0.013671875,-1.01953125,-0.005828724,0.025321891,22.20666695,0.218912765,1570,0,4.861322871,0.958404979,19.71490075,0.026420867,0.005208848,1.021484375,
342.93225,1173,,,,-0.015625,-0.009765625,-1.029296875,-0.005995205,0.025605936,22.20742798,0.21693638,1570,0,4.817599027,0.985397531,20.45412093,0.025985387,0.005315083,1.01953125,
342.954755,1173,,,,-0.037109375,-0.037109375,-1.0390625,-0.005058634,0.025605936,22.20700073,0.240478516,1567,0,5.340306573,0.830281835,15.54745639,0.030840054,0.004794844,1.01953125,
342.976155,1173,,,,-0.046875,-0.01953125,-0.99609375,-0.005442273,0.024295804,22.20742798,0.224609375,1567,0,4.987996519,0.892845373,17.89987963,0.027211659,0.004870854,1.01953125,
342.99813,1173,,,,-0.0625,0.0078125,-1.037109375,-0.006662751,0.024740588,22.20800018,0.227864578,1569,0,5.060416598,1.094546676,21.62957644,0.022603502,0.004889042,1.01953125,
343.019225,1173,,,,0.015625,-0.0546875,-1.033203125,-0.006643871,0.025161152,22.20799828,0.235072538,1570,0,5.220490524,1.092291001,20.92314881,0.023035209,0.004819691,1.01953125,
343.04086,1173,,,,-0.0625,-0.01171875,-0.984375,-0.006503694,0.025195281,22.20599937,0.239257813,1570,0,5.312958835,1.069557292,20.13110443,0.023556738,0.004742232,1.01953125,
343.06202,1173,,,,-0.078125,-0.03515625,-1.025390625,-0.006084918,0.025630157,22.20666695,0.218912765,1573,0,4.861322871,1.002083702,20.61339533,0.025576863,0.00527226,1.01953125,
343.084095,1173,,,,-0.015625,-0.0078125,-1.013671875,-0.005721231,0.026030904,22.20628548,0.218331471,1573,0,4.848330975,0.942538802,19.44047977,0.027617859,0.005369044,1.01953125,
343.10508,1173,,,,-0.048828125,-0.03125,-1.01171875,-0.005468185,0.025717132,22.20742798,0.226004466,1573,0,5.018977911,0.900842639,17.94872691,0.028547863,0.005123978,1.01953125,
343.126175,1173,,,,-0.0625,0.0078125,-1.05078125,-0.005143621,0.024518196,22.20628548,0.216238841,1571,0,4.801861444,0.84641707,17.62685324,0.028967039,0.005105977,1.01953125,
343.14692,1173,,,,-0.037109375,-0.0078125,-1.05078125,-0.005300631,0.025145738,22.20800018,0.236002609,1568,0,5.241145987,0.870195174,16.60314702,0.028896665,0.004797756,1.01953125,
343.16805,1173,,,,-0.03125,-0.021484375,-1.060546875,-0.005431724,0.025145738,22.20799828,0.230887279,1569,0,5.127544292,0.892728847,17.41045609,0.028167274,0.004904051,1.021484375,
343.189185,1173,,,,0.015625,-0.060546875,-1.01953125,-0.005771369,0.025556394,22.20742989,0.222516745,1568,0,4.94152502,0.947473896,19.17371442,0.02697319,0.005171762,1.01953125,
343.210335,1173,,,,-0.0625,-0.0078125,-1.041015625,-0.005981925,0.025652176,22.20666504,0.227864578,1568,0,5.060112366,0.982279388,19.41220505,0.026114949,0.005069487,1.01953125,
